frame,x,y
0,945,732.0
1,945,732.25
2,947,731.75
3,947,732.0
4,948,732.0
5,950,732.25
6,951,732.0
7,952,732.0
8,953,733.25
9,953,733.0
10,954,733.0
11,955,736.5
12,957,738.75
13,959,741.5
14,963,744.75
15,964,746.0
16,968,748.75
17,971,749.25
18,973,750.25
19,976,752.75
20,980,754.25
21,981,754.5
22,982,753.25
23,984,752.0
24,988,751.0
25,990,753.5
26,992,758.5
27,992,760.75
28,992,765.5
29,995,774.75
30,1000,781.5
31,1010,782.25
32,1013,781.5
33,1014,780.75
34,1004,778.25
35,1002,774.25
36,1002,768.75
37,999,759.0
38,993,755.5
39,991,754.75
40,988,750.5
41,987,750.5
42,986,751.5
43,986,750.5
44,986,751.5
45,986,752.25
46,986,752.5
47,979,752.25
48,977,750.5
49,974,747.75
50,988,720.25
51,993,711.25
52,985,729.0
53,980,734.0
54,982,730.5
55,977,736.25
56,979,741.25
57,980,742.75
58,984,743.0
59,985,744.75
60,985,747.25
61,985,748.25
62,990,748.5
63,992,747.5
64,993,748.0
65,992,747.5
66,998,749.0
67,1007,751.25
68,1014,755.75
69,1017,757.0
70,1017,759.75
71,1018,765.5
72,1018,772.75
73,1018,776.25
74,1026,778.75
75,1029,780.0
76,1032,780.25
77,1034,780.25
78,1034,780.25
79,1035,777.5
80,1037,776.0
81,1038,775.75
82,1039,777.5
83,1043,782.75
84,1044,790.25
85,1046,797.25
86,1051,800.5
87,1053,800.75
88,1055,802.75
89,1053,803.25
90,1045,799.0
91,1040,792.75
92,1032,789.0
93,1029,788.25
94,1020,784.75
95,1006,781.25
96,988,780.25
97,971,783.5
98,960,783.5
99,956,783.25
100,943,783.75
101,928,783.25
102,921,783.0
103,915,784.25
104,910,782.5
105,908,782.0
106,902,781.0
107,895,778.75
108,883,776.75
109,886,773.75
110,892,771.25
111,895,770.25
112,901,769.25
113,903,767.5
114,901,764.75
115,900,762.25
116,908,762.0
117,911,762.0
118,913,763.0
119,917,767.0
120,923,770.0
121,928,773.75
122,931,776.25
123,932,776.5
124,933,776.75
125,937,775.0
126,940,771.25
127,937,768.0
128,933,766.5
129,931,766.25
130,935,766.75
131,936,769.5
132,936,772.75
133,936,774.25
134,936,773.5
135,936,773.75
136,934,772.5
137,928,766.0
138,917,756.75
139,909,748.0
140,904,737.0
141,903,732.25
142,898,731.5
143,890,733.0
144,873,733.5
145,862,734.25
146,853,734.25
147,849,734.5
148,841,732.25
149,831,730.5
150,819,727.25
151,811,725.25
152,800,724.0
153,796,724.75
154,789,722.5
155,775,718.75
156,768,716.0
157,766,714.25
158,772,712.5
159,775,712.0
160,781,710.75
161,789,709.75
162,797,708.25
163,809,703.25
164,817,703.25
165,821,703.25
166,810,704.25
167,816,708.0
168,827,706.5
169,833,709.0
170,837,708.75
171,838,708.25
172,844,707.5
173,849,707.0
174,857,706.0
175,862,709.75
176,868,716.25
177,871,718.75
178,873,722.5
179,874,724.0
180,880,728.0
181,883,730.75
182,882,735.5
183,881,736.75
184,879,738.5
185,882,740.75
186,886,744.0
187,891,745.75
188,899,747.0
189,902,747.0
190,904,749.0
191,912,752.5
192,919,757.25
193,926,768.5
194,934,777.0
195,937,781.25
196,942,784.75
197,948,793.75
198,958,801.0
199,970,816.25
200,983,826.5
201,988,830.75
202,1004,834.75
203,1022,834.5
204,1038,834.25
205,1057,834.5
206,1065,836.5
207,1068,837.75
208,1073,835.0
209,1086,833.0
210,1102,827.0
211,1113,831.75
212,1123,840.25
213,1127,842.25
214,1133,859.25
215,1144,885.75
216,1152,900.25
217,1167,906.75
218,1187,911.75
219,1194,913.5
220,1212,912.75
221,1224,908.25
222,1228,902.0
223,1227,896.5
224,1226,907.25
225,1226,911.0
226,1228,918.5
227,1227,919.25
228,1228,920.75
229,1228,920.5
230,1228,918.0
231,1227,917.5
232,1225,914.5
233,1225,910.25
234,1227,899.5
235,1226,887.25
236,1223,874.75
237,1222,870.25
238,1221,865.75
239,1217,862.0
240,1209,858.0
241,1201,852.0
242,1199,840.0
243,1198,836.25
244,1191,824.25
245,1183,818.0
246,1174,815.75
247,1167,813.75
248,1159,813.0
249,1157,812.25
250,1144,810.75
251,1129,810.5
252,1116,810.75
253,1106,808.0
254,1101,803.75
255,1100,802.0
256,1096,799.0
257,1090,797.5
258,1083,795.75
259,1073,791.75
260,1067,787.5
261,1065,785.75
262,1068,781.0
263,1072,775.5
264,1077,772.25
265,1077,769.0
266,1075,765.0
267,1075,764.5
268,1070,764.0
269,1062,765.5
270,1054,767.75
271,1048,770.0
272,1044,772.0
273,1043,772.75
274,1042,772.75
275,1042,772.5
276,1042,771.5
277,1041,772.5
278,1041,772.75
279,1040,772.75
280,1040,772.25
281,1040,773.25
282,1039,778.0
283,1038,781.75
284,1036,784.0
285,1035,785.0
286,1034,783.0
287,1025,779.25
288,1022,772.5
289,1025,765.5
290,1025,758.0
291,1025,755.5
292,1020,737.25
293,1017,726.0
294,1014,722.75
295,1010,718.0
296,1009,725.25
297,1008,729.0
298,1009,729.5
299,998,728.0
300,987,721.0
301,985,720.0
302,989,725.5
303,990,727.75
304,992,728.25
305,998,726.0
306,997,713.0
307,1000,697.0
308,1004,687.5
309,1005,683.75
310,1005,695.75
311,1006,706.0
312,1008,701.75
313,1011,703.25
314,1012,699.0
315,1012,697.75
316,1013,697.75
317,1015,700.0
318,1015,709.0
319,1018,713.5
320,1023,718.5
321,1025,720.0
322,1026,721.75
323,1024,722.0
324,1021,723.0
325,1017,726.0
326,1012,729.75
327,1009,731.75
328,1001,730.5
329,997,729.5
330,995,729.75
331,992,730.0
332,992,733.75
333,991,735.0
334,992,739.0
335,993,746.5
336,995,753.0
