frame,x,y
0,945.0,732.0
1,945.0,732.25
2,947.0,731.75
3,947.0,732.0
4,948.0,732.0
5,950.0,732.25
6,951.0,732.0
7,952.0,732.0
8,953.0,733.25
9,953.0,733.0
10,954.0,733.0
11,955.0,736.5
12,957.0,738.75
13,959.0,741.5
14,963.0,744.75
15,964.0,746.0
16,968.0,748.75
17,971.0,749.25
18,973.0,750.25
19,976.0,752.75
20,980.0,754.25
21,981.0,754.5
22,982.0,753.25
23,984.0,752.0
24,988.0,751.0
25,990.0,753.5
26,992.0,758.5
27,992.0,760.75
28,992.0,765.5
29,995.0,774.75
30,1000.0,781.5
31,1010.0,782.25
32,1013.0,781.5
33,1014.0,780.75
34,1004.0,778.25
35,1002.0,774.25
36,1002.0,768.75
37,999.0,759.0
38,993.0,755.5
39,991.0,754.75
40,988.0,750.5
41,987.0,750.5
42,986.0,751.5
43,986.0,750.5
44,986.0,751.5
45,986.0,752.25
46,986.0,752.5
47,979.0,752.25
48,977.0,750.5
49,974.0,747.75
50,988.0,720.25
51,993.0,711.25
52,985.0,729.0
53,980.0,734.0
54,982.0,730.5
55,977.0,736.25
56,979.0,741.25
57,980.0,742.75
58,984.0,743.0
59,985.0,744.75
60,985.0,747.25
61,985.0,748.25
62,990.0,748.5
63,992.0,747.5
64,993.0,748.0
65,992.0,747.5
66,998.0,749.0
67,1007.0,751.25
68,1014.0,755.75
69,1017.0,757.0
70,1017.0,759.75
71,1018.0,765.5
72,1018.0,772.75
73,1018.0,776.25
74,1026.0,778.75
75,1029.0,780.0
76,1032.0,780.25
77,1034.0,780.25
78,1034.0,780.25
79,1035.0,777.5
80,1037.0,776.0
81,1038.0,775.75
82,1039.0,777.5
83,1043.0,782.75
84,1044.0,790.25
85,1046.0,797.25
86,1051.0,800.5
87,1053.0,800.75
88,1055.0,802.75
89,1053.0,803.25
90,1045.0,799.0
91,1040.0,792.75
92,1032.0,789.0
93,1029.0,788.25
94,1020.0,784.75
95,1006.0,781.25
96,988.0,780.25
97,971.0,783.5
98,960.0,783.5
99,956.0,783.25
100,943.0,783.75
101,928.0,783.25
102,921.0,783.0
103,915.0,784.25
104,910.0,782.5
105,908.0,782.0
106,902.0,781.0
107,895.0,778.75
108,883.0,776.75
109,886.0,773.75
110,892.0,771.25
111,895.0,770.25
112,901.0,769.25
113,903.0,767.5
114,901.0,764.75
115,900.0,762.25
116,908.0,762.0
117,911.0,762.0
118,913.0,763.0
119,917.0,767.0
120,923.0,770.0
121,928.0,773.75
122,931.0,776.25
123,932.0,776.5
124,933.0,776.75
125,937.0,775.0
126,940.0,771.25
127,937.0,768.0
128,933.0,766.5
129,931.0,766.25
130,935.0,766.75
131,936.0,769.5
132,936.0,772.75
133,936.0,774.25
134,936.0,773.5
135,936.0,773.75
136,934.0,772.5
137,928.0,766.0
138,917.0,756.75
139,909.0,748.0
140,904.0,737.0
141,903.0,732.25
142,898.0,731.5
143,890.0,733.0
144,873.0,733.5
145,862.0,734.25
146,853.0,734.25
147,849.0,734.5
148,841.0,732.25
149,831.0,730.5
150,819.0,727.25
151,811.0,725.25
152,800.0,724.0
153,796.0,724.75
154,789.0,722.5
155,775.0,718.75
156,768.0,716.0
157,766.0,714.25
158,772.0,712.5
159,775.0,712.0
160,781.0,710.75
161,789.0,709.75
162,797.0,708.25
163,809.0,703.25
164,817.0,703.25
165,821.0,703.25
166,810.0,704.25
167,816.0,708.0
168,827.0,706.5
169,833.0,709.0
170,837.0,708.75
171,838.0,708.25
172,844.0,707.5
173,849.0,707.0
174,857.0,706.0
175,862.0,709.75
176,868.0,716.25
177,871.0,718.75
178,873.0,722.5
179,874.0,724.0
180,880.0,728.0
181,883.0,730.75
182,882.0,735.5
183,881.0,736.75
184,879.0,738.5
185,882.0,740.75
186,886.0,744.0
187,891.0,745.75
188,899.0,747.0
189,902.0,747.0
190,904.0,749.0
191,912.0,752.5
192,919.0,757.25
193,926.0,768.5
194,934.0,777.0
195,937.0,781.25
196,942.0,784.75
197,948.0,793.75
198,958.0,801.0
199,970.0,816.25
200,983.0,826.5
201,988.0,830.75
202,1004.0,834.75
203,1022.0,834.5
204,1038.0,834.25
205,1057.0,834.5
206,1065.0,836.5
207,1068.0,837.75
208,1073.0,835.0
209,1086.0,833.0
210,1102.0,827.0
211,1113.0,831.75
212,1123.0,840.25
213,1127.0,842.25
214,1133.0,859.25
215,1144.0,885.75
216,1152.0,900.25
217,1167.0,906.75
218,1187.0,911.75
219,1194.0,913.5
220,1212.0,912.75
221,1224.0,908.25
222,1228.0,902.0
223,1227.0,896.5
224,1226.0,907.25
225,1226.0,911.0
226,1228.0,918.5
227,1227.0,919.25
228,1228.0,920.75
229,1228.0,920.5
230,1228.0,918.0
231,1227.0,917.5
232,1225.0,914.5
233,1225.0,910.25
234,1227.0,899.5
235,1226.0,887.25
236,1223.0,874.75
237,1222.0,870.25
238,1221.0,865.75
239,1217.0,862.0
240,1209.0,858.0
241,1201.0,852.0
242,1199.0,840.0
243,1198.0,836.25
244,1191.0,824.25
245,1183.0,818.0
246,1174.0,815.75
247,1167.0,813.75
248,1159.0,813.0
249,1157.0,812.25
250,1144.0,810.75
251,1129.0,810.5
252,1116.0,810.75
253,1106.0,808.0
254,1101.0,803.75
255,1100.0,802.0
256,1096.0,799.0
257,1090.0,797.5
258,1083.0,795.75
259,1073.0,791.75
260,1067.0,787.5
261,1065.0,785.75
262,1068.0,781.0
263,1072.0,775.5
264,1077.0,772.25
265,1077.0,769.0
266,1075.0,765.0
267,1075.0,764.5
268,1070.0,764.0
269,1062.0,765.5
270,1054.0,767.75
271,1048.0,770.0
272,1044.0,772.0
273,1043.0,772.75
274,1042.0,772.75
275,1042.0,772.5
276,1042.0,771.5
277,1041.0,772.5
278,1041.0,772.75
279,1040.0,772.75
280,1040.0,772.25
281,1040.0,773.25
282,1039.0,778.0
283,1038.0,781.75
284,1036.0,784.0
285,1035.0,785.0
286,1034.0,783.0
287,1025.0,779.25
288,1022.0,772.5
289,1025.0,765.5
290,1025.0,758.0
291,1025.0,755.5
292,1020.0,737.25
293,1017.0,726.0
294,1014.0,722.75
295,1010.0,718.0
296,1009.0,725.25
297,1008.0,729.0
298,1009.0,729.5
299,998.0,728.0
300,987.0,721.0
301,985.0,720.0
302,989.0,725.5
303,990.0,727.75
304,992.0,728.25
305,998.0,726.0
306,997.0,713.0
307,1000.0,697.0
308,1004.0,687.5
309,1005.0,683.75
310,1005.0,695.75
311,1006.0,706.0
312,1008.0,701.75
313,1011.0,703.25
314,1012.0,699.0
315,1012.0,697.75
316,1013.0,697.75
317,1015.0,700.0
318,1015.0,709.0
319,1018.0,713.5
320,1023.0,718.5
321,1025.0,720.0
322,1026.0,721.75
323,1024.0,722.0
324,1021.0,723.0
325,1017.0,726.0
326,1012.0,729.75
327,1009.0,731.75
328,1001.0,730.5
329,997.0,729.5
330,995.0,729.75
331,992.0,730.0
332,992.0,733.75
333,991.0,735.0
334,992.0,739.0
335,993.0,746.5
336,995.0,753.0
337,1002.0,762.0
338,1002.0,769.75
339,1002.0,772.0
340,998.0,777.75
341,995.0,783.75
342,992.0,788.25
343,989.0,792.0
344,993.0,793.75
345,995.0,794.75
346,999.0,794.5
347,1001.0,793.0
348,1002.0,790.5
349,1004.0,790.25
350,1004.0,790.75
351,1004.0,791.25
352,995.0,794.75
353,985.0,798.5
354,981.0,804.5
355,980.0,809.75
356,980.0,813.25
357,980.0,813.5
358,981.0,816.0
359,983.0,817.0
360,985.0,818.0
361,1002.0,822.5
362,1025.0,826.75
363,1034.0,827.75
364,1045.0,829.75
