Frame,Body_Angle_deg,Leg_Stretch_Ratio
0,96.809,0.547
0,91.511,0.437
1,96.358,0.552
1,91.465,0.431
2,94.944,0.541
2,91.559,0.433
3,94.928,0.541
3,91.567,0.432
4,94.209,0.547
4,91.956,0.429
5,94.219,0.551
5,91.822,0.423
6,93.475,0.557
6,90.284,0.387
7,92.298,0.563
7,88.479,0.377
8,92.889,0.573
8,86.199,0.389
9,92.929,0.572
9,85.863,0.42
10,92.554,0.541
10,86.165,0.355
11,91.961,0.545
11,82.251,0.389
12,93.241,0.558
12,83.63,0.386
13,93.403,0.548
13,86.05,0.388
14,94.018,0.537
14,86.894,0.379
15,93.932,0.538
15,86.761,0.379
16,94.43,0.551
16,91.567,0.374
17,99.847,0.528
17,93.117,0.355
18,99.49,0.495
18,94.608,0.361
19,98.889,0.521
19,94.591,0.408
20,98.95,0.506
20,95.217,0.439
21,98.912,0.506
21,95.3,0.438
22,101.965,0.513
22,99.341,0.395
23,101.693,0.51
23,101.233,0.39
24,103.875,0.527
24,103.374,0.353
25,103.109,0.533
25,98.339,0.372
26,101.68,0.543
26,98.186,0.308
27,101.686,0.543
27,98.087,0.306
28,100.594,0.57
28,96.979,0.282
29,96.797,0.537
29,96.566,0.322
30,93.487,0.511
30,98.358,0.279
31,94.044,0.509
31,100.104,0.324
32,93.089,0.506
32,100.699,0.316
33,93.097,0.505
33,100.664,0.317
34,91.982,0.523
34,105.263,0.354
35,91.625,0.549
35,103.332,0.332
36,93.553,0.571
36,102.294,0.335
37,93.909,0.577
37,101.599,0.365
38,91.617,0.573
38,98.989,0.296
39,91.637,0.573
39,99.124,0.3
40,94.722,0.576
40,98.047,0.233
41,93.6,0.593
41,100.535,0.4
42,92.843,0.58
42,98.296,0.274
43,92.901,0.567
43,99.289,0.176
44,95.019,0.553
45,95.041,0.553
46,94.492,0.565
47,91.008,0.58
47,103.005,0.333
48,92.362,0.57
48,107.584,0.383
49,89.715,0.547
50,90.233,0.543
51,90.248,0.543
52,90.192,0.516
52,105.907,0.41
53,90.564,0.51
53,106.603,0.417
54,94.014,0.513
54,108.201,0.42
55,96.401,0.523
55,105.234,0.402
55,98.27,0.517
56,101.557,0.511
56,97.152,0.509
56,110.421,0.268
57,101.49,0.511
57,97.078,0.508
57,110.153,0.262
58,101.173,0.528
58,108.878,0.374
59,101.456,0.52
59,110.067,0.408
60,100.591,0.52
60,108.891,0.438
61,99.326,0.51
61,107.963,0.471
62,96.815,0.498
62,109.984,0.45
63,96.828,0.497
63,110.015,0.449
64,97.706,0.498
64,109.46,0.42
65,97.356,0.516
65,108.579,0.421
66,97.545,0.525
66,106.464,0.434
67,98.251,0.513
67,108.09,0.441
68,98.001,0.512
68,113.17,0.403
69,98.003,0.512
69,113.379,0.402
70,96.549,0.513
70,110.303,0.478
71,96.101,0.498
71,113.924,0.48
72,93.339,0.512
72,101.929,0.459
73,92.043,0.512
73,109.525,0.44
74,91.486,0.515
74,96.57,0.507
75,91.506,0.515
75,96.471,0.503
76,91.278,0.524
76,100.516,0.43
77,91.2,0.523
77,112.685,0.453
78,90.847,0.516
78,122.541,0.494
79,89.882,0.53
79,122.088,0.476
80,90.79,0.559
80,117.154,0.395
81,90.808,0.559
81,118.554,0.445
82,92.14,0.588
82,101.356,0.398
83,92.459,0.588
83,93.896,0.352
84,93.374,0.564
84,101.009,0.344
85,91.483,0.546
85,111.112,0.398
86,92.5,0.552
86,117.255,0.399
87,92.479,0.552
87,117.222,0.4
88,93.024,0.536
88,117.628,0.39
89,91.174,0.534
89,117.596,0.39
90,88.123,0.515
90,113.552,0.372
91,87.295,0.53
91,119.187,0.373
92,92.733,0.556
92,113.538,0.375
93,92.781,0.555
93,113.487,0.375
94,94.415,0.583
94,108.753,0.355
95,91.102,0.523
95,98.14,0.377
96,87.554,0.567
96,93.675,0.333
97,87.935,0.619
97,89.1,0.362
98,83.43,0.569
98,83.693,0.345
99,83.446,0.569
99,83.883,0.345
100,80.439,0.527
100,91.38,0.335
101,78.322,0.585
101,89.453,0.322
102,80.808,0.514
102,87.466,0.323
103,78.248,0.531
103,91.839,0.315
104,78.965,0.489
104,91.469,0.364
105,78.889,0.489
105,91.454,0.364
106,73.798,0.504
106,87.62,0.364
107,66.534,0.521
107,92.2,0.378
108,72.452,0.516
108,98.849,0.381
109,79.094,0.493
109,91.432,0.337
110,81.487,0.524
110,95.138,0.339
111,81.43,0.523
111,94.986,0.341
112,79.174,0.516
112,90.342,0.428
113,80.748,0.505
113,92.382,0.42
114,80.913,0.521
114,93.424,0.378
115,82.437,0.538
115,96.794,0.367
116,83.949,0.542
116,93.718,0.373
117,83.964,0.542
117,93.675,0.373
118,86.688,0.577
118,94.933,0.363
119,89.903,0.566
119,97.984,0.389
120,93.159,0.581
120,97.729,0.315
121,93.932,0.559
121,95.777,0.386
122,95.337,0.561
123,95.315,0.561
124,99.127,0.586
125,97.947,0.577
125,98.546,0.335
126,98.595,0.572
126,96.917,0.379
127,104.328,0.569
127,96.893,0.402
128,106.987,0.562
128,96.29,0.339
129,106.878,0.584
129,96.326,0.339
130,107.812,0.57
130,97.887,0.363
131,106.481,0.558
131,99.686,0.341
132,104.922,0.521
132,98.369,0.38
133,101.836,0.5
133,101.942,0.393
134,98.351,0.515
134,102.998,0.359
135,98.347,0.515
135,103.094,0.361
136,97.303,0.542
136,101.05,0.292
137,90.577,0.536
137,103.224,0.305
138,93.313,0.515
138,100.216,0.327
139,92.241,0.483
139,99.582,0.352
140,90.339,0.415
140,100.89,0.364
141,90.369,0.414
141,100.946,0.365
142,89.709,0.448
142,100.355,0.355
143,92.132,0.495
143,100.442,0.351
144,85.882,0.491
144,98.617,0.367
145,83.101,0.491
145,98.521,0.386
146,88.288,0.464
146,97.213,0.397
147,88.378,0.465
147,97.149,0.396
148,87.222,0.494
148,97.634,0.419
149,83.918,0.455
149,98.139,0.391
150,82.839,0.451
150,99.123,0.397
151,84.753,0.442
151,96.416,0.398
152,80.57,0.496
152,94.584,0.416
153,80.498,0.498
153,94.602,0.416
154,83.257,0.476
154,95.187,0.411
155,79.062,0.5
155,94.483,0.415
156,80.23,0.425
156,103.354,0.413
157,84.428,0.439
157,102.815,0.419
158,84.102,0.459
158,91.382,0.393
159,84.105,0.459
159,91.37,0.393
160,84.705,0.467
160,86.306,0.401
161,83.217,0.493
161,85.257,0.396
162,85.495,0.499
162,86.345,0.377
163,87.039,0.496
163,88.385,0.402
164,88.126,0.49
164,87.228,0.408
165,88.131,0.49
165,87.203,0.408
166,90.943,0.507
166,88.828,0.428
167,92.951,0.548
167,86.632,0.39
168,93.549,0.52
168,85.077,0.359
169,96.781,0.52
169,84.513,0.343
170,95.836,0.581
170,79.497,0.35
171,95.742,0.581
171,79.424,0.351
172,94.84,0.506
172,84.941,0.364
173,91.477,0.493
173,89.503,0.421
174,93.477,0.514
174,92.485,0.415
175,89.564,0.505
175,80.091,0.437
176,86.72,0.509
176,75.717,0.458
177,86.708,0.509
177,75.765,0.458
178,87.929,0.516
178,81.365,0.409
179,84.536,0.463
179,79.53,0.408
180,85.355,0.435
180,69.159,0.451
181,87.784,0.46
181,73.329,0.477
182,91.117,0.434
182,74.501,0.482
183,91.226,0.434
183,74.396,0.482
184,93.124,0.421
184,74.953,0.474
185,95.417,0.44
185,81.328,0.432
186,98.487,0.434
186,84.825,0.412
187,102.528,0.435
187,87.859,0.411
188,100.518,0.496
188,87.336,0.415
189,100.437,0.499
189,87.335,0.415
190,102.132,0.488
190,89.987,0.418
191,100.128,0.496
191,93.208,0.412
192,98.845,0.514
192,96.863,0.495
193,102.289,0.562
193,97.488,0.498
194,99.503,0.587
194,100.23,0.477
195,99.498,0.588
195,100.29,0.477
196,103.751,0.553
196,96.42,0.502
197,104.382,0.552
197,95.086,0.477
198,104.001,0.492
198,94.033,0.446
198,97.437,0.431
199,103.997,0.463
199,95.748,0.416
200,104.688,0.499
200,92.7,0.393
201,104.943,0.5
201,92.765,0.392
202,102.939,0.57
202,88.803,0.375
203,107.38,0.575
203,88.49,0.387
204,109.456,0.567
204,90.391,0.372
205,117.47,0.548
205,90.96,0.393
206,115.844,0.608
206,91.419,0.41
207,115.691,0.608
207,91.28,0.41
208,125.202,0.596
208,93.595,0.431
209,123.354,0.612
209,96.032,0.374
210,121.715,0.582
210,99.406,0.418
211,134.165,0.539
211,96.036,0.433
212,134.146,0.5
212,99.589,0.44
213,134.101,0.501
213,99.477,0.441
214,126.816,0.519
214,102.034,0.409
215,123.875,0.482
215,98.042,0.415
216,121.547,0.519
216,96.564,0.397
217,119.312,0.524
217,108.429,0.423
217,84.237,0.246
218,122.487,0.547
218,118.09,0.398
219,122.506,0.545
219,118.031,0.397
220,119.129,0.638
220,132.077,0.465
221,120.423,0.609
221,139.249,0.449
221,84.686,0.243
222,119.326,0.629
222,138.72,0.419
222,84.699,0.244
223,121.588,0.571
223,134.589,0.517
224,111.035,0.618
224,137.698,0.496
225,111.101,0.618
225,137.545,0.494
226,113.749,0.587
226,135.011,0.479
227,111.31,0.596
227,133.111,0.454
228,109.487,0.569
228,130.02,0.472
229,101.277,0.577
229,129.947,0.5
230,94.753,0.561
230,131.979,0.518
231,94.761,0.561
231,131.602,0.517
232,91.009,0.588
232,124.633,0.477
233,85.928,0.552
233,120.836,0.468
234,83.051,0.523
234,125.907,0.508
235,80.667,0.526
235,118.158,0.491
236,79.524,0.524
236,114.566,0.486
236,57.512,0.561
237,79.445,0.523
237,114.426,0.486
237,58.571,0.557
238,79.542,0.556
238,116.433,0.501
238,58.458,0.545
238,86.727,0.472
239,80.046,0.592
239,118.03,0.473
239,61.59,0.527
240,81.51,0.529
240,116.888,0.465
240,86.216,0.469
241,85.575,0.51
241,115.575,0.466
241,85.715,0.469
242,91.134,0.456
242,112.296,0.444
242,85.558,0.47
243,91.168,0.456
243,112.362,0.444
243,85.68,0.47
244,87.875,0.46
244,111.404,0.445
244,85.939,0.472
245,87.248,0.464
245,110.577,0.461
245,85.939,0.471
246,88.09,0.466
246,106.906,0.399
247,87.304,0.486
247,107.775,0.39
248,90.226,0.508
248,103.177,0.425
249,90.269,0.508
249,103.133,0.425
250,88.236,0.463
250,102.854,0.389
250,86.125,0.473
251,87.116,0.515
251,97.363,0.432
251,85.714,0.468
252,85.385,0.484
252,99.561,0.395
252,86.005,0.47
253,88.711,0.538
253,102.299,0.399
253,86.042,0.473
254,87.164,0.484
254,107.44,0.442
255,87.183,0.484
255,107.354,0.442
256,83.55,0.461
256,103.757,0.44
256,86.302,0.47
257,83.981,0.446
257,109.974,0.409
257,86.309,0.47
258,83.89,0.449
258,110.293,0.414
259,84.115,0.472
259,114.938,0.412
260,79.901,0.419
260,117.096,0.392
261,79.885,0.419
261,117.029,0.392
262,81.84,0.437
262,110.643,0.381
263,83.415,0.451
263,102.073,0.4
264,85.128,0.486
264,99.75,0.361
265,84.425,0.498
265,97.578,0.379
266,84.619,0.515
266,99.385,0.44
266,97.449,0.389
266,89.768,0.484
267,84.638,0.514
267,99.497,0.44
267,97.406,0.39
268,87.463,0.551
268,99.573,0.381
268,99.96,0.364
269,89.973,0.553
269,96.085,0.375
270,90.77,0.525
270,96.904,0.392
271,91.885,0.51
271,98.145,0.393
272,95.314,0.514
272,97.95,0.394
273,95.275,0.515
273,97.995,0.393
274,97.671,0.515
274,98.249,0.383
275,98.671,0.535
275,96.855,0.388
276,100.353,0.525
276,96.525,0.407
277,104.196,0.553
277,97.039,0.382
278,105.134,0.552
278,96.178,0.387
279,106.669,0.608
279,96.172,0.388
280,106.226,0.555
280,94.808,0.398
281,108.117,0.548
281,95.946,0.335
282,101.967,0.543
282,91.308,0.37
283,98.157,0.53
283,93.961,0.395
284,99.925,0.534
284,98.267,0.373
285,100.016,0.534
285,98.186,0.372
286,98.035,0.517
286,97.721,0.355
287,97.534,0.505
287,94.18,0.343
288,100.573,0.52
288,93.668,0.371
289,98.054,0.553
289,92.747,0.309
290,97.227,0.557
290,91.457,0.306
291,97.161,0.559
291,91.554,0.308
292,93.617,0.513
292,91.091,0.282
293,96.193,0.493
293,95.404,0.278
294,94.167,0.527
294,94.039,0.305
295,93.097,0.553
296,93.666,0.568
296,94.1,0.334
297,93.648,0.569
297,94.101,0.334
298,95.79,0.56
298,93.609,0.352
299,97.001,0.536
299,96.323,0.376
300,95.926,0.539
300,97.591,0.414
301,90.255,0.571
301,100.953,0.429
302,94.494,0.561
302,103.994,0.449
303,94.485,0.562
303,104.001,0.449
304,97.401,0.519
304,108.251,0.433
305,95.131,0.534
306,93.655,0.555
307,97.302,0.485
307,112.221,0.392
308,99.004,0.523
308,111.755,0.412
309,99.108,0.52
309,111.539,0.412
310,92.425,0.541
310,108.195,0.354
311,93.015,0.524
311,114.97,0.413
312,91.255,0.552
312,110.925,0.405
313,90.529,0.532
313,105.73,0.41
314,90.572,0.509
314,99.261,0.357
315,90.61,0.514
315,99.383,0.358
316,90.625,0.486
316,95.36,0.315
317,89.218,0.5
317,95.132,0.314
318,89.056,0.51
318,99.658,0.387
319,87.399,0.483
319,96.244,0.409
320,87.763,0.491
320,94.009,0.408
321,87.779,0.491
321,93.947,0.408
322,89.054,0.468
322,94.872,0.401
322,94.518,0.395
323,90.079,0.477
323,93.269,0.393
323,91.998,0.407
324,91.185,0.469
324,91.146,0.401
325,93.052,0.467
325,91.871,0.403
326,94.509,0.459
326,92.32,0.386
327,94.517,0.459
327,92.387,0.385
328,95.127,0.461
328,90.747,0.369
329,94.558,0.528
329,90.756,0.352
330,95.216,0.475
330,88.525,0.344
331,95.565,0.494
331,88.175,0.338
332,96.463,0.511
332,86.442,0.332
333,96.452,0.51
333,86.416,0.333
334,97.463,0.512
335,96.869,0.506
335,82.679,0.379
336,97.002,0.479
336,87.058,0.375
337,99.697,0.495
337,85.94,0.436
338,100.617,0.481
338,90.384,0.456
339,100.584,0.48
339,90.431,0.456
340,100.392,0.483
340,93.293,0.44
341,96.931,0.525
342,94.203,0.54
343,92.365,0.54
344,92.615,0.523
344,92.416,0.412
345,92.577,0.523
345,92.479,0.412
346,91.684,0.536
346,89.043,0.411
347,89.831,0.528
347,93.61,0.446
348,88.898,0.529
348,87.284,0.491
349,88.592,0.523
349,89.377,0.488
350,90.127,0.571
350,98.184,0.466
351,90.151,0.571
351,97.912,0.467
352,89.303,0.677
352,96.396,0.449
353,89.723,0.566
353,104.205,0.439
354,92.771,0.603
354,103.795,0.389
355,98.436,0.622
355,103.576,0.392
356,106.338,0.591
356,101.75,0.371
357,106.364,0.591
357,101.668,0.371
358,121.278,0.602
358,108.5,0.386
359,128.028,0.59
359,112.841,0.356
360,131.384,0.536
360,112.694,0.364
361,139.973,0.568
362,147.869,0.536
363,147.947,0.536
364,154.959,0.534
365,156.177,0.55
366,161.988,0.531
367,160.508,0.508
367,91.649,0.356
368,154.682,0.475
369,154.6,0.476
370,164.472,0.445
371,167.645,0.529
372,175.886,0.55
372,87.019,0.313
373,172.3,0.429
374,162.354,0.533
374,91.53,0.337
375,162.16,0.533
375,91.598,0.338
376,148.577,0.465
376,95.604,0.373
377,118.92,0.485
378,97.722,0.402
379,88.106,0.434
379,94.899,0.359
380,81.46,0.468
380,96.387,0.339
381,81.497,0.468
381,96.439,0.34
382,74.8,0.625
382,100.943,0.375
383,67.968,0.61
