Shot_Number,Frame,Shot_Type,Player
1,2,net/drop,P2
2,250,clear,P1
3,348,clear,P2
4,362,clear,P1
5,472,clear,P2
6,478,net/drop,P1
7,520,clear,P2
8,646,smash,P1
9,657,clear,P2
10,680,clear,P1
11,686,clear,P2
12,712,clear,P1
13,800,clear,P2
14,848,clear,P1
15,864,smash,P2
16,879,clear,P1
17,896,clear,P2
18,945,clear,P1
19,964,clear,P2
20,1023,drive,P1
21,1042,clear,P2
22,1139,clear,P1
23,1146,smash,P2
24,1193,clear,P1
25,1201,smash,P2
26,1253,clear,P1
27,1320,clear,P2
28,1328,net/drop,P1
29,1368,smash,P2
30,1374,smash,P1
31,1407,clear,P2
32,1498,net/drop,P1
33,1516,smash,P2
34,1596,clear,P1
35,1604,clear,P2
36,1622,net/drop,P1
37,1652,clear,P2
38,1660,smash,P1
39,1699,smash,P2
40,1727,net/drop,P1
41,1752,net/drop,P2
42,1816,clear,P1
43,1821,smash,P2
44,1828,clear,P1
45,2043,smash,P2
46,2076,clear,P1
